,artists,education,knowledge,school,science,songs,teach,teacher
3359,Jadakiss,0,0,2,0,Feel Me (Skit),0,0
3360,Jadakiss,0,0,0,0,From Now Till Then,0,0
3361,Jadakiss,0,0,0,0,From Now Till Then,0,0
3362,Jadakiss,0,0,0,0,From now till then,0,0
3363,Jadakiss,0,0,0,0,Gettin' It In,0,0
3364,Jadakiss,0,0,0,0,Grind Hard,0,0
3365,Jadakiss,0,0,0,0,Happy To Be Here,0,0
3401,Jadakiss,0,0,0,0,Still Feel Me,0,0
3403,Jadakiss,0,0,0,0,Things I've Been Through,0,0
3470,Jay-Z,0,0,0,0,Dig a Hole,0,0
3446,Jay-Z,0,0,0,0,Blueprint (Momma Loves Me),0,0
3452,Jay-Z,0,0,0,0,Can I Get A...,0,0
3451,Jay-Z,0,0,0,0,Can I Get A...,0,0
3450,Jay-Z,0,0,0,0,Brooklyn's Finest,0,0
3449,Jay-Z,0,0,0,0,Bring It On,0,0
3448,Jay-Z,0,0,0,0,Break Up to Make Up,0,0
3447,Jay-Z,0,0,0,0,Break Up (That's All We Do),0,0
3445,Jay-Z,0,0,0,0,Blue Magic,0,0
3404,Jadakiss,0,0,0,0,Time's Up,0,0
3444,Jay-Z,0,0,0,0,Big Pimpin',0,0
3443,Jay-Z,0,0,0,0,Big Pimpin',0,0
3442,Jay-Z,0,0,0,0,Big Chips,0,0
3441,Jay-Z,0,0,0,0,Beach Is Better,0,0
3440,Jay-Z,0,0,0,0,Beach Chair,0,0
3439,Jay-Z,0,0,0,0,BBC,0,0
3453,Jay-Z,0,0,0,0,Can I Live II,0,0
3454,Jay-Z,0,0,0,0,Can I Live,0,0
3455,Jay-Z,0,0,0,0,Can I Live,0,0
3456,Jay-Z,0,0,0,0,Can't Knock the Hustle,0,0
3457,Jay-Z,0,0,0,0,Can't Knock the Hustle,0,0
3458,Jay-Z,0,0,0,0,Cashmere Thoughts,0,0
3459,Jay-Z,0,0,0,0,Change Clothes,0,0
3460,Jay-Z,0,0,0,0,Change the Game,0,0
3461,Jay-Z,0,0,0,0,Come and Get Me,0,0
3462,Jay-Z,0,0,0,0,Coming of Age (Da Sequel),0,0
3463,Jay-Z,0,0,0,0,Coming of Age,0,0
3464,Jay-Z,0,0,0,0,Crown,0,0
3465,Jay-Z,0,0,0,0,D'evils,0,0
3466,Jay-Z,0,0,0,0,D.O.A. (Death of Auto-Tune),0,0
3467,Jay-Z,0,0,0,0,Dead Presidents II,0,0
3468,Jay-Z,0,0,0,0,December 4th,0,0
3469,Jay-Z,0,0,0,0,Diamond Is Forever,0,0
3438,Jay-Z,0,0,0,0,As One,0,0
3437,Jay-Z,0,0,0,0,Anything,0,0
3436,Jay-Z,0,0,0,0,American Gangster,0,0
3419,Jay-Z,0,0,0,0,1-900-Hustler,0,0
3405,Jadakiss,0,0,0,0,Toast To That,0,0
3406,Jadakiss,0,0,0,0,U Make Me Wanna,0,0
3407,Jadakiss,0,0,0,0,We Gonna Make It,0,0
3408,Jadakiss,0,0,0,0,Welcome to D-Block,0,0
3409,Jadakiss,0,0,0,0,Welcome to D-Block,0,0
3410,Jadakiss,0,0,0,0,Welcome to the Roc,0,0
3411,Jadakiss,0,0,0,0,What If,0,0
